Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Rynite®,FR543 BK507,Polyethylene Terephthalate,PET,1.79,PET-GF45-FR,,254.0,16000.0,280.0,16000.0,90.0,
Rynite®,GW520CS1 NC010,Polyethylene Terephthalate,PET,1.61,PET-GF20-FR,,250.0,,,9000.0,,
Rynite®,RE5231 BK533,Polyethylene Terephthalate,PET,1.6,PET-(GF+MD)35,,250.0,8800.0,140.0,10000.0,,
Impet®,2700 GV1/30,Polyethylene Terephthalate,PET,1.6,PET-GF30,,252.0,11100.0,225.0,11500.0,80.0,
Impet®,340R,Polyethylene Terephthalate,PET,1.73,PET-GF45-L,,244.0,15400.0,255.0,16800.0,73.0,4.0
Impet®,HD250,Polyethylene Terephthalate,PET,2.5,PET-I-GF,,,7750.0,72.5,,,
Petra®,140,Polyethylene Terephthalate,PET,1.7,PET-GF45,,,13100.0,255.0,16200.0,,
Petra®,330 FR BK112,Polyethylene Terephthalate,PET,1.67,PET-GF30-FR,,,9930.0,215.0,9768.888889,,
Bapolene®,83,Polyethylene Terephthalate,PET,1.39,PET,,252.0,,,,,
MARPOL®,PET IV 84 CB,Polyethylene Terephthalate,PET,,PET,,,,,,,
Ertalyte®,Sterra™ PET,Polyethylene Terephthalate,PET,1.41,PET,,245.0,3380.0,135.0,3500.0,,
Ertalyte®,TX Food Grade PET-P,Polyethylene Terephthalate,PET,1.44,PET,,245.0,2480.0,122.0,3300.0,,
SCHULADUR®,E GF 50,Polyethylene Terephthalate,PET,1.79,PET-GF50,,,17000.0,290.0,20000.0,,
Matrixx,80S7451,Polyethylene Terephthalate,PET,1.7,PET-GF45,172.0,,13800.0,,,,
Matrixx,81N7004,Polyethylene Terephthalate,PET,1.22,PET,51.7,,2070.0,,,,
Matrixx,85S7451,Polyethylene Terephthalate,PET,1.8,PET-GF75-FR,152.0,,12400.0,,,,
ICORENE®,N9201,Polyethylene Terephthalate,PET,1.27,PET,50.0,,2100.0,,,80.0,
ICORENE®,N9204,Polyethylene Terephthalate,PET,1.4,PET,,248.0,2300.0,,,,
ICORENE®,N9206,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
TEREZ PET,3100,Polyethylene Terephthalate,PET,1.32,PET,57.0,,,,2400.0,,
VYLOPET™,EMC-330K,Polyethylene Terephthalate,PET,1.6,PET,,,10300.0,217.0,,,
Wankai,WK821,Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
Wankai,WK851,Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
Yuyao PET,PET126,Polyethylene Terephthalate,PET,1.15,PET-GF-FR,,,8850.0,130.0,,,
Yuyao PET,PET518,Polyethylene Terephthalate,PET,1.3,PET-GF-FR,,,8510.0,132.0,,,
Tunhe PET,TH101,Polyethylene Terephthalate,PET,1.39,PET,,246.0,,,,,
VYPET,VNT 325,Polyethylene Terephthalate,PET,1.47,PET-(GF+MD)25,,250.0,6600.0,150.0,,,
VYPET,VNT 615 FR,Polyethylene Terephthalate,PET,1.55,PET-GF15-FR,,,5900.0,150.0,,,
VYPET,VNT 630,Polyethylene Terephthalate,PET,1.55,PET-GF30,140.0,,10500.0,218.0,,,
VYPET,VNT 635A,Polyethylene Terephthalate,PET,1.56,PET-GF35,,,10000.0,210.0,,,
RAMAPET®,R180,Polyethylene Terephthalate,PET,1.39,PET,,,,,,76.0,
RAMAPET®,S3,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
Polyclear®,PET T-94 G,Polyethylene Terephthalate,PET,1.4,PET,,236.0,,,,,
Kingfa,PET-RG30,Polyethylene Terephthalate,PET,1.65,PET-GF30-FR,,,9000.0,195.0,,,
