Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
DynaMix™,475-AFR,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,
Polycomp®,XL  6400,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,25.0,,,,,,3.0
BONDYRAM®,TL4113,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,116.0,,,,,3.2
PrimaFlex®,LD 21020,"Polyethylene, Low Density",LDPE,PE-LD,11.7,,228.0,,,,20.0
VENELENE®,11O1,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.9
VENELENE®,11O4,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.9
VENELENE®,11PG4,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.1
VENELENE®,11U4,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.4
VENELENE®,FB-3003,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.27
VENELENE®,FD-4048,"Polyethylene, Low Density + LLDPE",LDPE+LLDPE,PE-LLD,,,,,,,2.5
POLYCOMPO PE,102,"Polyethylene, Low Density",LDPE,PE-LD,,,200.0,,,,0.35
POLYCOMPO PE,20200J,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,8.9,,200.0,,,,19.0
POLYCOMPO PE,2020SB,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,190.0,,,,1.6
POLYCOMPO PE,2520F,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,11.0,,220.0,,,,2.4
POLYCOMPO PE,4020L,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,16.0,,530.0,,,,2.3
POLYCOMPO PE,FL60,"Polyethylene, Low Density",LDPE,PE-LD,,,130.0,,,,70.0
POLYCOMPO PE,SP3010,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,13.0,,490.0,,,,0.8
Procon,C2166-BK100,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,20.0
PETLIN,LD M050X,"Polyethylene, Low Density",LDPE,PE-LD,8.0,,,,168.0,,50.0
PETILEN,H2-21T,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.5
PETILEN,I22-19T,"Polyethylene, Low Density",LDPE,PE-LD,8.0,,,,,,22.0
NEVIECO,PELD TL20 NERO,"Polyethylene, Low Density",LDPE,PE-LD-MD20,18.0,,870.0,20.0,1500.0,,
HIVAL®,PE LD 300721,"Polyethylene, Low Density",LDPE,PE-LD,,,689.0,,,,0.7
HIVAL®,PE LLD 106033UVG,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,18.6,,738.0,,,,6.5
HIVAL®,PE LLD FLLB18 010 MM,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,186.0,,,,1.0
HIVAL®,PE LLD FLLB19 028,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,120.0,138.0,,,,2.8
HIVAL®,PE LLD FLLH18 020,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,152.0,,,,0.8
SURPASS®,FPs016-C,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.7
SCLAIR®,FG220-A,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.3
SCLAIR®,FP120 Series,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
NOVAPOL®,LF-0222-F,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.2
NEFTEKHIM PE,4020W (20425),"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,400.0,,,,20.0
NEFTEKHIM PE,4028X (28435),"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,550.0,,,,30.0
NEFTEKHIM PE,4115N (16401),"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.7
NEFTEKHIM PE,4118N (18401),"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.7
NEFTEKHIM PE,4118Q (18403),"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.5
NEFTEKHIM PE,4222M (224F7),"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,350.0,,,,0.5
NEFTEKHIM PE,5118NM,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.7
NEFTEKHIM PE,5120P,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.4
NEFTEKHIM PE,5122N,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.7
NEFTEKHIM PE,5122P,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.4
NEFTEKHIM PE,5122PM,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.4
NEFTEKHIM PE,5122Q,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.5
Osterlene®,"LD07520 (-A, -SA)","Polyethylene, Low Density",LDPE,PE-LD,10.7,,,,,,0.7
Osterlene®,LD900,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,9.0
Osterlene®,"LLB100C (-B, -SA)","Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.3
Osterlene®,"LLB2019 (-SA, -SAH)","Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Osterlene®,"LLH1018 (-A, -SA)","Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.95
Osterlene®,LLH2018,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Osterlene®,LLH300-B,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,3.0
Osterlene®,"LLSH0917 (-B, -A, -SA)","Polyethylene, Linear Low Density",LLDPE,PE-LLD,,125.0,,,,,0.9
FARALLOY®,PE-425,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD,,,803.0,19.3,,,5.5
LUBAN™,DFDA-7047,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
LUBAN™,DFDA-7059,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Moharamplast LLDPE,MP50035U,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,17.0,115.0,,13.0,420.0,,5.0
Exelene® LLDPE,2401,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,123.0,,,,,2.3
Exelene® LLDPE,2600,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Exelene® LLDPE,2601,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Exelene® LDPE,8000,"Polyethylene, Low Density",LDPE,PE-LD,,104.0,,,,,8.0
CERTENE™,LDF-0220B,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.25
CERTENE™,LDF-0822A,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.8
CERTENE™,LDF-1220A,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,12.0
CERTENE™,LDF-219A,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
CERTENE™,LDF-224C,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
CERTENE™,LDF-322C,"Polyethylene, Low Density",LDPE,PE-LD,,111.0,,,,,3.0
CERTENE™,LDF-420A,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,4.0
CERTENE™,LDF-622A,"Polyethylene, Low Density",LDPE,PE-LD,7.0,,232.0,,,,6.5
CERTENE™,LDI-3524,"Polyethylene, Low Density",LDPE,PE-LD,11.0,,331.0,,,,35.0
CERTENE™,LDI-5523,"Polyethylene, Low Density",LDPE,PE-LD,11.0,110.0,331.0,,,,55.0
CERTENE™,LLBF-120B,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
CERTENE™,LLGF-120B,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
CERTENE™,LLHF-117XA,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.85
CERTENE™,LLI-5026G,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,15.2,,448.0,,,,50.0
Polymer-E,C7100,"Polyethylene, Low Density",LDPE,PE-LD,,106.0,,,,,7.3
Polymer-E,F1100,"Polyethylene, Low Density",LDPE,PE-LD,,111.0,,,,,1.1
Orevac®,18334,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,9.5,125.0,,,,,1.0
Orevac®,IM800,"Polyethylene, Low Density",LDPE,PE-LD-I,,55.0,20.0,,,-55.0,0.5
ColorFast®,FRPE200,"Polyethylene, Low Density",LDPE,PE-LD-FR,6.89,,172.0,6.55,,,2.0
PRIMATOP®,A18946 LLDPE,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
PRIMATOP®,LLDPE 020919B,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
PRIMATOP®,TGS LL 044917,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-I,11.0,,,,,,4.4
Aaron,AVPE LLD 300-2,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,20.7,,724.0,,,,2.0
Aarolene®,ARPE LD 300-1,"Polyethylene, Low Density",LDPE,PE-LD,11.0,,1650.0,,,,6.0
Eleme,NGL015FG,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.5
Egyeuroptene,LDPE 2020,"Polyethylene, Low Density",LDPE,PE-LD,11.8,,,,186.0,,20.0
Comai,663-2 BL,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,20.0
Comai,663-3 BL,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD20,,,,,,,20.0
Comai,665-2 BP,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,6.0
Comai,712-5 UV,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,
Comai,728-1 UV,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,
Comai,745-4 AS,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,
DINALEN®,50,"Polyethylene, Low Density",LDPE,PE-LD,11.0,113.0,,,200.0,,2.0
Daelim Po1y®,LD-62,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,7.6
Daelim Po1y®,LD-63,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,10.0
Daelim Po1y®,LL-04S,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-GF,,,,,,,1.1
Daelim Po1y®,LL-25,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Flexus,9213S,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,BF-2021,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
Braskem PE,F2022/0,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
Braskem PE,FG31,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,IC32,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,12.0,,350.0,,,,29.0
Braskem PE,IF33,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,15.0,,450.0,,,,48.0
Braskem PE,LD5000A,"Polyethylene, Low Density",LDPE,PE-LD,10.0,,,,,,1.4
Braskem PE,LD5010FC,"Polyethylene, Low Density",LDPE,PE-LD,12.0,,,,,,1.2
Braskem PE,LH118,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,LL4400SFC,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.7
Braskem PE,LL4405S,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Braskem PE,ML3400N,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,17.0,,530.0,,,,5.5
Braskem PE,PB208,"Polyethylene, Low Density",LDPE,PE-LD,10.0,,250.0,,,,22.0
Braskem PE,SBC818,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,8.3
Braskem PE,SEB853,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.7
Braskem PE,SLH218,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.3
Braskem PE,SLL5405S,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,TS9022,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.2
Braskem PE,TX8079,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.1
Braskem PE,RPL 4C5 WE,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.5
Braskem PE,SBF0323/12HC,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.32
Braskem PE,SLD4004,"Polyethylene, Low Density",LDPE,PE-LD,,,240.0,,,,2.0
Braskem PE,SLH118,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,SLL218,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.3
Braskem PE,SPB681,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,3.8
Flexus,9212XP,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,LDF0034,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.34
Braskem PE,LDF0080,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.8
Braskem PE,LDF2723S1,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.7
Braskem PE,LF320,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.7
Braskem PE,LH537,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,4.8
Braskem PE,LL118/21,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,1.0
Braskem PE,SBF0323HC,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.32
Braskem PE,SLH0820/30AF,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.8
Braskem PE,SLH118/21,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,SLL118,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Braskem PE,SPB208,"Polyethylene, Low Density",LDPE,PE-LD,10.0,,250.0,,,,22.0
Braskem PE,STS7006,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.6
CABELEC®,CA4676,"Polyethylene, Low Density",LDPE,PE-LD,11.0,,,,,,1.0
CABELEC®,XS6736A,"Polyethylene, Low Density",LDPE,PE-LD,9.0,,340.0,,,,1.0
Ipethene®,101,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.3
Ipethene®,4203,"Polyethylene, Low Density",LDPE,PE-LD,,109.0,,,,,0.2
Ipethene®,470,"Polyethylene, Low Density",LDPE,PE-LD,,107.0,,,,,4.5
Ipethene®,900,"Polyethylene, Low Density",LDPE,PE-LD,,105.0,,,,,50.0
Ipethene®,970,"Polyethylene, Low Density",LDPE,PE-LD,,105.0,,,,,70.0
Asrene®,UF 1810,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
CP PRYME® Polyethylene,PE100LD-.7FM,"Polyethylene, Low Density",LDPE,PE-LD,9.45,107.0,,,132.0,,0.7
Marlex®,1017,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,7.0
Marlex®,1018,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,8.0
Marlex®,5430,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.2
Marlex®,5440,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.2
Marlex®,5613,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.5
Marlex®,5626,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.65
Marlex®,5754,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.8
Marlex®,7105D,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.5
Marlex®,7109,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,0.9
Marlex®,7120B,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
Marlex®,7120X,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
AT®,7205,"Polyethylene, Low Density",LDPE,PE-LD,,,270.0,,,,0.3
Visico™,LE4423 / Visico™LE4438,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,1.0
Visico™,ME4425 / Visico™LE4438,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,1.0
Borstar®,FB2310,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,127.0,,,,,0.2
Bormed™,LE6600-PH,"Polyethylene, Low Density",LDPE,PE-LD,10.0,,250.0,,250.0,,1.5
Borealis PE,CA7230,"Polyethylene, Low Density",LDPE,PE-LD,,109.0,,,,,4.5
Borealis PE,FA3221,"Polyethylene, Low Density",LDPE,PE-LD,,110.0,,,,,0.3
Borealis PE,FA7220,"Polyethylene, Low Density",LDPE,PE-LD,,111.0,,,,,4.0
Borealis PE,FA7224,"Polyethylene, Low Density",LDPE,PE-LD,,111.0,,,,,4.0
Borealis PE,FT5230,"Polyethylene, Low Density",LDPE,PE-LD,,112.0,,,,,0.75
Borealis PE,FT5236,"Polyethylene, Low Density",LDPE,PE-LD,,112.0,,,,,0.75
BioBlend®,XP 24650,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,600.0,,540.0,,1.4
BioBlend®,XP 24850,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,720.0,,450.0,,1.5
Braskem PE,LDF0080,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.8
Braskem PE,LDF2023,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
Braskem PE,LDF2023S1,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
Braskem PE,LDF2723,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.7
Bapolene®,1030,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,2.0
Bapolene®,108A,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.8
Bapolene®,133B,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Bapolene®,133F,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Bapolene®,152P,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.0
Bapolene®,155FP,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.6
Bapolene®,155P,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,1.4
Bapolene®,2292G,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,14.5,,441.0,,,,50.0
Bapolene®,3039U,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,17.9,,752.0,,,,3.5
Titanvene™,BPD3220,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,12.0,,,,,,2.6
Titanvene™,LL0220SR,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,2.0
TITANLENE®,LDF 201FG,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,3.0
TITANLENE®,LDF 266YZ,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,0.25
TITANLENE®,LDI 300YY,"Polyethylene, Low Density",LDPE,PE-LD,11.8,,,,186.0,,20.0
