Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Pro-fax,SLY331,Polypropylene Homopolymer,PP Homopolymer,0.9,33.0,1400.0,,,,3.0
Rigidex® P,450-HP60,Polypropylene Impact Copolymer,PP Impact Copolymer,,,1400.0,,,,60.0
Recycl-IN,rPP1002,Polypropylene Homopolymer,PP Homopolymer,,35.0,1500.0,,,,2.5
Recycl-IN,rPP1025,Polypropylene Homopolymer,PP Homopolymer,,,1900.0,,,,25.0
INEOS PP,100-CA50,Polypropylene Homopolymer,PP Homopolymer,,36.0,1550.0,,,,50.0
INEOS PP,100-CC60,Polypropylene Homopolymer,PP Homopolymer,,38.0,1800.0,,1950.0,,60.0
INEOS PP,100-GA01,Polypropylene Homopolymer,PP Homopolymer,,36.0,1550.0,,,,0.9
INEOS PP,100-GB25,Polypropylene Homopolymer,PP Homopolymer,,32.0,1200.0,,,,25.0
INEOS PP,100-GD02,Polypropylene Homopolymer,PP Homopolymer,,31.0,1450.0,,,,2.0
INEOS PP,101-XA12,Polypropylene Homopolymer,PP Homopolymer,,34.0,1400.0,,,,12.0
INEOS PP,101-XA25,Polypropylene Homopolymer,PP Homopolymer,,33.0,1400.0,,,,25.0
INEOS PP,150-GA03,Polypropylene Homopolymer,PP Homopolymer,,35.0,1450.0,,,,3.0
INEOS PP,194-NA25,Polypropylene Homopolymer,PP Homopolymer,,38.0,1750.0,,,,25.0
INEOS PP,200-CA25,Polypropylene Random Copolymer,PP Random Copolymer,,28.0,1100.0,,,,25.0
INEOS PP,200-CA40,Polypropylene Random Copolymer,PP Random Copolymer,,28.0,1100.0,,,,40.0
INEOS PP,240-HP40,Polypropylene Random Copolymer,PP Random Copolymer,,28.0,1100.0,,,,40.0
INEOS PP,240-NA02,Polypropylene Random Copolymer,PP Random Copolymer,,24.0,850.0,,900.0,,1.5
INEOS PP,400-CB08,Polypropylene Impact Copolymer,PP Impact Copolymer,,,1200.0,,,,8.0
INEOS PP,540-NA08,Polypropylene Impact Copolymer,PP Impact Copolymer,,,1100.0,,,,8.0
