Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Westlake PVC,7777,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.4,,2430.0,80.7,3500.0,,
Westlake PVC,8258,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,82.7,2480.0,,
Westlake PVC,8266 Natural 01,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,,2620.0,74.5,2830.0,,
Westlake PVC,8266 Natural 02,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2610.0,74.5,2830.0,,
Westlake PVC,8266 White,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2610.0,74.5,2830.0,,
Westlake PVC,8268,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,,2620.0,81.4,2620.0,,
Westlake PVC,8302,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,41.4,185.0,2550.0,84.1,2210.0,,
Westlake PVC,9017,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,,,81.4,2550.0,,
Westlake PVC,9113J Clear 61,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,75.8,2520.0,,
Westlake PVC,9175 Amber 12,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,49.6,,,89.6,2900.0,,
Westlake PVC,9202J,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,41.4,,2240.0,69.6,2410.0,,
Westlake PVC,CL-7049J,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,37.0,,2140.0,66.0,2410.0,,
Westlake PVC,FG-9017,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.0,,,81.0,2550.0,,
Westlake PVC,FG-9208,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2620.0,80.7,2690.0,,
Westlake PVC,GP-9190J,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.0,,2410.0,83.0,2480.0,,
Westlake PVC,HHW-191(6191),"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.2,,2410.0,75.8,2410.0,,
Westlake PVC,HR-5009,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.3,199.0,2900.0,89.6,2830.0,,
Westlake PVC,LR-5009,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.5,,2980.0,88.3,2960.0,,
Westlake PVC,NR-5009,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2900.0,89.6,2830.0,,
Tuf-Stif,2804,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.2,,4650.0,86.2,4140.0,,
Suprel® SVA,9412,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,1720.0,50.3,1930.0,,
Vinakon®,XL79449,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,35.0,,2500.0,52.0,,,60.0
Hy-Vin®,VQ130,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,,,,,,
Hy-Vin®,XM81509,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.0,,,,,,
Hy-Vin®,XP80138,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2800.0,78.3,,,
K-Bin Rigid PVC,KB-5048,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.4,,2720.0,72.7,2980.0,,
K-Bin Rigid PVC,KBD-5030T-9,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,16.4,,1210.0,28.0,772.0,,
Trovidur®,EC-FR,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.0,,,80.0,3000.0,,
Trovidur®,ESA,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.0,,,60.0,2500.0,,
Rimtec PVC,4110 N CLEAR,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.4,,2550.0,,2410.0,,
Rimtec PVC,43017 UV CLEAR,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.8,,2550.0,,2480.0,,
Rimtec PVC,43051,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,38.6,,2830.0,,2760.0,,
Rimtec PVC,4504-6 UV NAT,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,40.0,,2900.0,,2410.0,,
Rimtec PVC,4509-7 UV NATURAL,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,44.1,,2690.0,,2550.0,,
Prime,2500,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.3,,2930.0,,3000.0,,
Prime,4104,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.5,,2850.0,,2690.0,,
Prime,4250 NAT 06,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2830.0,84.1,2830.0,,
Prime,6600,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.5,,2620.0,,2760.0,,
Prime,8600,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.1,,2900.0,,3030.0,,
Auroralite™,AP3335,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,1030.0,24.1,896.0,,
AuroraTec™,AP 2243 AT12C GRAY,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2590.0,72.0,2760.0,,
AuroraTec™,AP2503XNT1001,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,3680.0,69.7,3550.0,,
AuroraTec™,RR 0188 PC1 BK2880,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2360.0,68.0,2830.0,,
AuroraTec™,RR 5056 UV2 CLEAR,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,,,,76.0,2610.0,,
AuroraTec™,RR 7800 MC NATURAL,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2550.0,69.0,2620.0,,
AuroraTec™,RR 7803 U2 NATURAL,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2620.0,69.0,2550.0,,
Boltaron,4800,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2070.0,54.0,,,
GEON® Rigid,87568,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,53.8,,,,2830.0,,
GEON® Rigid,L6183R,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,43.8,,3630.0,77.9,3390.0,,
Trovidur®,EC N red,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,55.0,,,80.0,3000.0,,
Trovidur®,PVC-U black,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.0,,,,3000.0,,
Sinvicomp,SIC3700UV,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,57.0,,,,,,
Weatherguard®,WG 1028 HG Series,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.6,,3360.0,74.0,3170.0,,19.0
