Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
MTEGRITY™ PS General Purpose,GS300,"Polystyrene, General Purpose",PS (GPPS),1.04,,2960.0,,,,8.0
TEKAPPO™,J100,Polyphenylene Ether + PS,PPE+PS,1.06,,2500.0,89.2,,,
TEKAPPO™,JF303,Polyphenylene Ether + PS,PPE+PS,1.06,,2450.0,108.0,,,
SEPAZ™,LW8842FR,Polyphenylene Ether + PS,PPE+PS,1.38,,10500.0,157.0,,,
MBA PS,3124,"Polystyrene, High Impact",PS (HIPS),1.05,25.0,2200.0,,2250.0,,6.0
MBA PS,3124 70/42,"Polystyrene, High Impact",PS (HIPS),1.05,25.0,2200.0,,2300.0,,6.0
EvoSource™,PS 3122 E,"Polystyrene, High Impact",PS (HIPS),1.05,23.0,,,,,6.5
MARPOL®,FS2,"Polystyrene, Expanded",PS (EPS),1.03,,,,,,
MARPOL®,PSC 6030,"Polystyrene, General Purpose",PS (GPPS),,,2800.0,92.0,,,3.0
Ming Dih EPS,FS,"Polystyrene, Expanded",PS (EPS),1.03,,,,,,
Ming Dih EPS,LS,"Polystyrene, Expanded",PS (EPS),1.03,,,,,,
Ming Dih EPS,LS3,"Polystyrene, Expanded",PS (EPS),1.03,,,,,,
Ming Dih EPS,S2,"Polystyrene, Expanded",PS (EPS),1.03,,,,,,
MWR,GPS 13200,"Polystyrene, General Purpose",PS (GPPS),1.04,44.1,3240.0,,,,10.0
MWR,HIPS 13100,"Polystyrene, High Impact",PS (HIPS),1.04,26.9,1930.0,,,,10.0
NOVADURAN™,5810G30 NA (Natural Color),Polybutylene Terephthalate + PS,PBT+PS,1.44,,9000.0,185.0,9400.0,,
NOVADURAN™,5810GN2-15,Polybutylene Terephthalate + PS,PBT+PS,1.4,,6010.0,140.0,6400.0,,
NOVADURAN™,5810GN2-30,Polybutylene Terephthalate + PS,PBT+PS,1.58,,10000.0,180.0,11500.0,,
NOVADURAN™,5817GN2-20,Polybutylene Terephthalate + PS,PBT+PS,1.45,,7020.0,170.0,8000.0,,
NOVADURAN™,5817GN2-30,Polybutylene Terephthalate + PS,PBT+PS,1.53,,9800.0,196.0,11000.0,,
NOVADURAN™,5830GN6-40,Polybutylene Terephthalate + PS,PBT+PS,1.7,,10700.0,150.0,11500.0,,
ALCOM® MED PS,1000 14113,"Polystyrene, High Impact",PS (HIPS),1.03,25.0,2250.0,39.0,2200.0,,
ALCOM® MED PS,2015 05001,"Polystyrene, High Impact",PS (HIPS),1.21,25.0,4600.0,52.0,4300.0,,
ALCOM® MED PS,2030 07001,"Polystyrene, General Purpose",PS (GPPS),1.32,,9000.0,100.0,8850.0,,
POLYFLAM®,HSF 33 E,"Polystyrene, General Purpose",PS (GPPS),1.22,28.0,,,2100.0,,
POLYFLAM®,HSF 36,"Polystyrene, General Purpose",PS (GPPS),1.18,25.0,,,2100.0,,
POLYFLAM®,SDR 5000,"Polystyrene, General Purpose",PS (GPPS),1.08,28.0,,,2400.0,,
POLYFLAM®,SDR 5005,"Polystyrene, General Purpose",PS (GPPS),1.06,33.0,2700.0,49.0,2550.0,,
POLYFLAM®,SDR 5005 WHITE 88315 HP25,"Polystyrene, General Purpose",PS (GPPS),1.19,30.0,2700.0,50.0,2500.0,,
Network Polymers PS,CPS 80 0800,"Polystyrene, General Purpose",PS (GPPS),1.05,,,,2880.0,,8.0
Network Polymers PS,CPS 80-1200B- BEADS,"Polystyrene, General Purpose",PS (GPPS),1.04,34.5,3170.0,,303.0,,12.0
ICORENE®,N6404,"Polystyrene, General Purpose",PS (GPPS),1.05,,,70.0,,,21.0
ASI POLYSTYRENE,3020-01,"Polystyrene, High Impact",PS (HIPS),1.04,,2100.0,,2000.0,,2.5
TexRes,General Purpose Polystyrene,"Polystyrene, General Purpose",PS (GPPS),1.05,,,,2880.0,,8.0
Polifil® PS,RP-HIPS,"Polystyrene, High Impact",PS (HIPS),1.05,,2140.0,49.6,1790.0,,3.0
Tisren®,PS UNR FR,"Polystyrene, General Purpose",PS (GPPS),1.19,55.0,,,,,
TRYCITE™,8002.600,"Polystyrene, General Purpose",PS (GPPS),,,,,,,
TRYCITE™,8003,"Polystyrene, High Impact",PS (HIPS),,,,,,,
TotalEnergies Polystyrene,533B,"Polystyrene, General Purpose",PS (GPPS),1.04,,3100.0,96.5,2960.0,,4.5
TotalEnergies Polystyrene,825,"Polystyrene, High Impact",PS (HIPS),1.04,,2340.0,44.8,2280.0,,8.0
TotalEnergies Polystyrene,975E,"Polystyrene, High Impact",PS (HIPS),1.04,,1860.0,40.0,1590.0,,2.8
