Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
LNP™ THERMOCOMP™ Compound,AF004L,Acrylonitrile Butadiene Styrene,ABS,1.18,ABS-GF20,,,4920.0,107.0,5660.0,72.0,,2.1,8.23529411764706,,
LNP™ THERMOCOMP™ Compound,AF006,Acrylonitrile Butadiene Styrene,ABS,1.26,ABS-GF30,,,6300.0,,7900.0,82.0,,1.4,7.0,,
LNP™ THERMOCOMP™ Compound,AF006XXZ - Americas,Acrylonitrile Butadiene Styrene,ABS,1.28,ABS-GF30,,,9170.0,119.0,,83.0,,1.7,5.686274509803922,,
LNP™ THERMOCOMP™ Compound,AF006XXZ - Europe,Acrylonitrile Butadiene Styrene,ABS,1.26,ABS-GF30,,,6300.0,,,82.0,,1.4,7.0,,
LNP™ THERMOCOMP™ Compound,AR002XXH,Acrylonitrile Butadiene Styrene,ABS,1.12,ABS-MD10,,,2560.0,,2400.0,40.0,,2.6,8.23529411764706,,
LNP™ THERMOCOMP™ Compound,NF001 - Americas,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS)-GF5,62.0,,3120.0,94.0,3300.0,51.0,3.4,5.3,14.705882352941178,,
LNP™ THERMOCOMP™ Compound,NF001 - Asia,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS)-GF5,,,3650.0,103.0,3550.0,62.0,,3.4,14.705882352941178,,
LNP™ THERMOCOMP™ AM Compound,AC004XXAR1,Acrylonitrile Butadiene Styrene,ABS,1.14,ABS-CF20,,,,125.0,2900.0,,,0.7,,,
LNP™ STAT-LOY™ Compound,A30009 - Americas,Acrylonitrile Butadiene Styrene,ABS,1.21,ABS-X-FR,32.0,,2060.0,47.0,1720.0,28.0,3.5,15.0,12.745098039215687,,
LNP™ STAT-LOY™ Compound,N30009 - Americas,Polycarbonate + ABS,PC+ABS,1.26,(PC+ABS)-X-FR,55.0,,2150.0,84.0,2150.0,49.0,5.0,100.0,62.74509803921569,,
LNP™ STAT-KON™ Compound,AE002 - Americas,Acrylonitrile Butadiene Styrene,ABS,1.16,ABS-CF10,82.0,,6500.0,112.0,7400.0,82.0,1.4,1.4,5.0,,
LNP™ STAT-KON™ Compound,AE002 - Asia,Acrylonitrile Butadiene Styrene,ABS,1.16,ABS-CF10,,,7030.0,117.0,7400.0,78.0,,1.5,5.0,,
LNP™ STAT-KON™ Compound,AE006,Acrylonitrile Butadiene Styrene,ABS,1.21,ABS-CF30,,,17600.0,182.0,18600.0,128.0,1.0,1.0,5.196078431372549,,
LNP™ STAT-KON™ Compound,DX07323,Polycarbonate + ABS,PC+ABS,1.26,(PC+ABS)-I-Me,55.0,,2200.0,84.0,2400.0,45.0,5.0,9.0,17.647058823529413,,
LNP™ LUBRICOMP™ Compound,AI001XXH,Acrylonitrile Butadiene Styrene,ABS,1.05,ABS-L,38.0,,2110.0,56.0,2120.0,31.0,2.2,59.0,14.705882352941178,,
